sentence1,sentence2,similarity_score,b_sentence1,b_sentence2,p_sentence1,p_sentence2,sts_ft_score,b_ft_score,p_sts_ft_score
"""It was a little bit embarrassing the way we played in the first two games,"" Thomas said.","""We're in the Stanley Cup finals, and it was a little bit embarrassing the way we played in the first two games.",3.2,it was a little bit embarrassing the way we played in the first two games thomas said,we re in the stanley cup finals and it was a little bit embarrassing the way we played in the first two games,little bit embarrassing way played first two games thomas said,stanley cup finals little bit embarrassing way played first two games,0.95,0.97,0.91
"From Broadway comedies like ""The Seven Year Itch"" (1952), ""Will Success Spoil Rock Hunter?""","Playwright George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?",2.0,from broadway comedies like the seven year itch will success spoil rock hunter,playwright george axelrod who anticipated the sexual revolution with the seven year itch and will success spoil rock hunter,broadway comedies like seven year itch success spoil rock hunter,playwright george axelrod anticipated sexual revolution seven year itch success spoil rock hunter,0.78,0.89,0.85
"Nine seconds later, it broke the sound barrier and continued its steep powered ascent.","Nine seconds later, SpaceShipOne broke the sound barrier, the company said.",3.0,nine seconds later it broke the sound barrier and continued its steep powered ascent,nine seconds later spaceshipone broke the sound barrier the company said,nine seconds later broke sound barrier continued steep powered ascent,nine seconds later spaceshipone broke sound barrier company said,0.84,0.86,0.81
The plane was estimated to be within 100 pounds of its maximum takeoff weight.,"US Airways Flight 5481, which crashed Jan. 8, was judged to be within 100 pounds of its maximum takeoff weight.",3.25,the plane was estimated to be within pounds of its maximum takeoff weight,us airways flight which crashed jan was judged to be within pounds of its maximum takeoff weight,plane estimated within pounds maximum takeoff weight,us airways flight crashed jan judged within pounds maximum takeoff weight,0.92,0.94,0.87
"Gainer said the two staff aides are ""very sorry this all happened,"" and the security personnel had performed ""well within standards.""","The security personnel performed ``well within standards'' and the two staff aides were ``very sorry all this happened,'' Gainer said.",5.0,gainer said the two staff aides are very sorry this all happened and the security personnel had performed well within standards,the security personnel performed well within standards and the two staff aides were very sorry all this happened gainer said,gainer said two staff aides sorry happened security personnel performed well within standards,security personnel performed well within standards two staff aides sorry happened gainer said,0.97,1.0,1.0
He also said the academy will get its own internal report next week detailing the seriousness of the remaining problem.,"The academy will get its own internal report next week and it will be made public, Rosa said.",3.33,he also said the academy will get its own internal report next week detailing the seriousness of the remaining problem,the academy will get its own internal report next week and it will be made public rosa said,also said academy get internal report next week detailing seriousness remaining problem,academy get internal report next week made public rosa said,0.9,0.91,0.86
"Gartner's report said global WLAN equipment shipments reached 19.5 million last year, a 120 percent increase over 2001's 8.9 million units.","Total shipments reached 19.5 million units last year, compared with 8.9 million units in 2001.",3.6,gartner s report said global wlan equipment shipments reached million last year a percent increase over s million units,total shipments reached million units last year compared with million units in,gartner report said global wlan equipment shipments reached million last year percent increase million units,total shipments reached million units last year compared million units,0.89,0.84,0.87
"Roy Moore, the suspended chief justice of the Alabama Supreme Court, stood accused but unrepentant Wednesday in the same courtroom he recently presided over.","Moore, the suspended chief justice of the Alabama Supreme Court, stands trial before the Alabama Court of the Judiciary.",3.8,roy moore the suspended chief justice of the alabama supreme court stood accused but unrepentant wednesday in the same courtroom he recently presided over,moore the suspended chief justice of the alabama supreme court stands trial before the alabama court of the judiciary,roy moore suspended chief justice alabama supreme court stood accused unrepentant wednesday courtroom recently presided,moore suspended chief justice alabama supreme court stands trial alabama court judiciary,0.9,0.92,0.88
"The blue-chip Dow Jones industrial average .DJI climbed 164 points, or 1.91 percent, to 8,765.38, brushing its highest levels since mid-January.","The blue-chip Dow Jones industrial average .DJI tacked on 97 points, or 1.14 percent, to 8,699.",3.0,the blue chip dow jones industrial average dji climbed points or percent to brushing its highest levels since mid january,the blue chip dow jones industrial average dji tacked on points or percent to,blue chip dow jones industrial average dji climbed points percent brushing highest levels since mid january,blue chip dow jones industrial average dji tacked points percent,0.89,0.9,0.87
An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel.,"According to an arrest warrant, Bryant, 24, attacked a woman on June 30.",4.25,an arrest warrant claimed bryant assaulted the woman june at a hotel,according to an arrest warrant bryant attacked a woman on june,arrest warrant claimed bryant assaulted woman june hotel,according arrest warrant bryant attacked woman june,0.84,0.92,0.92
FRIENDS of Robert De Niro yesterday rallied around him after he was diagnosed with prostate cancer.,"Hollywood actor Robert De Niro has been diagnosed with prostate cancer, his spokesman said today.",3.5,friends of robert de niro yesterday rallied around him after he was diagnosed with prostate cancer,hollywood actor robert de niro has been diagnosed with prostate cancer his spokesman said today,friends robert de niro yesterday rallied around diagnosed prostate cancer,hollywood actor robert de niro diagnosed prostate cancer spokesman said today,0.83,0.85,0.82
"But JT was careful to clarify that it was ""not certain about the outcome of the discussion at this moment"".","""However, we are not certain about the outcome of the discussion at this moment.""",3.2,but jt was careful to clarify that it was not certain about the outcome of the discussion at this moment,however we are not certain about the outcome of the discussion at this moment,jt careful clarify certain outcome discussion moment,however certain outcome discussion moment,0.93,0.95,0.88
"Shares of Halliburton fell 71 cents, or 3 percent, to close at $21.59 yesterday on the New York Stock Exchange.","Halliburton shares fell 54 cents, or 2.4 percent, to $21.76 a share in midday New York Stock Exchange trade.",2.4,shares of halliburton fell cents or percent to close at yesterday on the new york stock exchange,halliburton shares fell cents or percent to a share in midday new york stock exchange trade,shares halliburton fell cents percent close yesterday new york stock exchange,halliburton shares fell cents percent share midday new york stock exchange trade,0.91,0.94,0.95
"Tail wagging, Abbey trotted on stage with Conway before a crowd of more than 10,000 attendees at PeopleSoft's annual customer conference at the Anaheim Convention Center.","On Monday, Abbey trotted on stage, tail wagging, with Conway before a crowd of 10,000 attendees at PeopleSoft's annual customer conference.",4.0,tail wagging abbey trotted on stage with conway before a crowd of more than attendees at peoplesoft s annual customer conference at the anaheim convention center,on monday abbey trotted on stage tail wagging with conway before a crowd of attendees at peoplesoft s annual customer conference,tail wagging abbey trotted stage conway crowd attendees peoplesoft annual customer conference anaheim convention center,monday abbey trotted stage tail wagging conway crowd attendees peoplesoft annual customer conference,0.93,0.96,0.95
"At midnight on Wednesday, 68 percent of voters said ""no"" to the tax, with 97 percent of the votes counted.","With 97 percent of precincts counted tonight, 68 percent of voters opposed the tax.",4.67,at midnight on wednesday percent of voters said no to the tax with percent of the votes counted,with percent of precincts counted tonight percent of voters opposed the tax,midnight wednesday percent voters said tax percent votes counted,percent precincts counted tonight percent voters opposed tax,0.91,0.92,0.92
Graham is expected to be nominated and elected to a second one-year term today and will deliver the presidential address.,"Later Tuesday, Graham was expected to be re-elected for a second one-year term.",3.33,graham is expected to be nominated and elected to a second one year term today and will deliver the presidential address,later tuesday graham was expected to be re elected for a second one year term,graham expected nominated elected second one year term today deliver presidential address,later tuesday graham expected elected second one year term,0.9,0.92,0.89
"""These changes may affect a large number of existing Web pages,"" the statement continued.","Still, changes to IE ""may affect a large number of existing Web pages,"" according to the W3C's notice.",3.0,these changes may affect a large number of existing web pages the statement continued,still changes to ie may affect a large number of existing web pages according to the w c s notice,changes may affect large number existing web pages statement continued,still changes ie may affect large number existing web pages according w c notice,0.87,0.89,0.88
"Barbini said the union may reach a compromise with the United States but it wants a system for labeling such foods, something the industry successfully fought here.","Barbini said the EU may reach a compromise but it wants a system for labeling such foods, something the industry has resisted.",3.25,barbini said the union may reach a compromise with the united states but it wants a system for labeling such foods something the industry successfully fought here,barbini said the eu may reach a compromise but it wants a system for labeling such foods something the industry has resisted,barbini said union may reach compromise united states wants system labeling foods something industry successfully fought,barbini said eu may reach compromise wants system labeling foods something industry resisted,0.96,0.96,0.93
The blaze then spread to several surrounding structures on the property and destroyed them.,The fire spread to several surrounding structures on the property and destroyed them as deputies held back firefighters.,4.0,the blaze then spread to several surrounding structures on the property and destroyed them,the fire spread to several surrounding structures on the property and destroyed them as deputies held back firefighters,blaze spread several surrounding structures property destroyed,fire spread several surrounding structures property destroyed deputies held back firefighters,0.95,0.96,0.89
"Sources say agents confiscated ""several"" documents he was carrying.",Agents confiscated several classified documents in his possession and interrogated him.,3.5,sources say agents confiscated several documents he was carrying,agents confiscated several classified documents in his possession and interrogated him,sources say agents confiscated several documents carrying,agents confiscated several classified documents possession interrogated,0.74,0.84,0.83
"The helicopter burst into flames upon impact, according to the Mohave County Sheriff's Office.","The helicopter was owned by Las Vegas-based Sundance Helicopters Inc., according to the sheriff's office.",2.0,the helicopter burst into flames upon impact according to the mohave county sheriff s office,the helicopter was owned by las vegas based sundance helicopters inc according to the sheriff s office,helicopter burst flames upon impact according mohave county sheriff office,helicopter owned las vegas based sundance helicopters inc according sheriff office,0.77,0.82,0.69
"""I am advised that certain allegations of criminal conduct have been interposed against my counsel,"" said Silver.","""I am advised that certain allegations of criminal conduct have been interposed against my counsel, J. Michael Boxley,'' the Silver statement said. """,3.6,i am advised that certain allegations of criminal conduct have been interposed against my counsel said silver,i am advised that certain allegations of criminal conduct have been interposed against my counsel j michael boxley the silver statement said,advised certain allegations criminal conduct interposed counsel said silver,advised certain allegations criminal conduct interposed counsel j michael boxley silver statement said,0.94,0.97,0.93
The new research will be published soon in the Proceedings of the National Academy of Sciences.,It will appear in the next few weeks on the Web site of the Proceedings of the National Academy of Sciences.,3.4,the new research will be published soon in the proceedings of the national academy of sciences,it will appear in the next few weeks on the web site of the proceedings of the national academy of sciences,new research published soon proceedings national academy sciences,appear next weeks web site proceedings national academy sciences,0.93,0.94,0.81
"Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence, a Corrections Department official said.",A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street.,3.5,two convicted killers and another inmate escaped from a state prison on a busy street wednesday by cutting through a fence a corrections department official said,a convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street,two convicted killers another inmate escaped state prison busy street wednesday cutting fence corrections department official said,convicted killer two inmates cut two fences topped razor wire escaped state prison busy street,0.91,0.93,0.87
John Hickenlooper had 65 percent of the vote to 35 percent for City Auditor Don Mares.,"Hickenlooper clobbered city Auditor Don Mares, 46, in the Tuesday runoff.",2.4,john hickenlooper had percent of the vote to percent for city auditor don mares,hickenlooper clobbered city auditor don mares in the tuesday runoff,john hickenlooper percent vote percent city auditor mares,hickenlooper clobbered city auditor mares tuesday runoff,0.75,0.81,0.75
Young has 28 days to file a response and ask the NASD for a hearing.,"Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.",3.5,young has days to file a response and ask the nasd for a hearing,under nasd regulations mr young can file a response and request a hearing before an nasd panel,young days file response ask nasd hearing,nasd regulations mr young file response request hearing nasd panel,0.9,0.91,0.84
Stocks dipped lower Tuesday as investors opted to cash in profits from Monday's big rally despite a trio of reports suggesting modest improvement in the economy.,Wall Street moved tentatively higher Tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from Monday's big rally.,2.8,stocks dipped lower tuesday as investors opted to cash in profits from monday s big rally despite a trio of reports suggesting modest improvement in the economy,wall street moved tentatively higher tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from monday s big rally,stocks dipped lower tuesday investors opted cash profits monday big rally despite trio reports suggesting modest improvement economy,wall street moved tentatively higher tuesday investors weighed trio reports showing modest economic improvement urge cash profits monday big rally,0.95,0.95,0.92
"From the start, however, the United States' declared goal was not just to topple Saddam but to stabilize Iraq and install a friendly government.",But the United States' ultimate goal was not just to topple Mr. Hussein but to stabilize the country and install a friendly government.,4.8,from the start however the united states declared goal was not just to topple saddam but to stabilize iraq and install a friendly government,but the united states ultimate goal was not just to topple mr hussein but to stabilize the country and install a friendly government,start however united states declared goal topple saddam stabilize iraq install friendly government,united states ultimate goal topple mr hussein stabilize country install friendly government,0.97,0.98,0.91
Selenski descended down the wall and used the mattress to climb over razor wire.,"Selenski used the mattress to scale a 10-foot razor wire, Fischi said.",3.0,selenski descended down the wall and used the mattress to climb over razor wire,selenski used the mattress to scale a foot razor wire fischi said,selenski descended wall used mattress climb razor wire,selenski used mattress scale foot razor wire fischi said,0.83,0.86,0.81
"Common side effects include nasal congestion, runny nose, sore throat and cough, the FDA said.","The most common side effects after getting the nasal spray were nasal congestion, runny nose, sore throat and cough.",3.4,common side effects include nasal congestion runny nose sore throat and cough the fda said,the most common side effects after getting the nasal spray were nasal congestion runny nose sore throat and cough,common side effects include nasal congestion runny nose sore throat cough fda said,common side effects getting nasal spray nasal congestion runny nose sore throat cough,0.91,0.94,0.94
"Announcing the selection, Kmart CEO Julian Day said Grey will help the retailer ""find creative ways to communicate the unique strengths of Kmart to the new America consumer.""","Together, we will find creative ways to communicate the unique strengths of Kmart to the 'new America' consumer.""",3.25,announcing the selection kmart ceo julian day said grey will help the retailer find creative ways to communicate the unique strengths of kmart to the new america consumer,together we will find creative ways to communicate the unique strengths of kmart to the new america consumer,announcing selection kmart ceo julian day said grey help retailer find creative ways communicate unique strengths kmart new america consumer,together find creative ways communicate unique strengths kmart new america consumer,0.91,0.94,0.88
Supermarket chains facing a possible grocery clerk strike this week accused union leaders Monday of breaking off contract talks prematurely over the weekend.,Supermarket chains are accusing union leaders of breaking off contract talks prematurely over the weekend as grocery clerks gear up for a possible strike.,4.75,supermarket chains facing a possible grocery clerk strike this week accused union leaders monday of breaking off contract talks prematurely over the weekend,supermarket chains are accusing union leaders of breaking off contract talks prematurely over the weekend as grocery clerks gear up for a possible strike,supermarket chains facing possible grocery clerk strike week accused union leaders monday breaking contract talks prematurely weekend,supermarket chains accusing union leaders breaking contract talks prematurely weekend grocery clerks gear possible strike,0.95,0.95,0.95
INTEL TODAY disclosed details of its next-generation XScale processor for mobile phones and handheld devices here in San Jose.,"Intel on Wednesday unveiled its next-generation processor for cell phones, PDAs, and other wireless devices.",3.6,intel today disclosed details of its next generation xscale processor for mobile phones and handheld devices here in san jose,intel on wednesday unveiled its next generation processor for cell phones pdas and other wireless devices,intel today disclosed details next generation xscale processor mobile phones handheld devices san jose,intel wednesday unveiled next generation processor cell phones pdas wireless devices,0.86,0.91,0.88
The 6th U.S. Circuit Court of Appeals on Wednesday ruled that an Ohio law banning a controversial late-term abortion method passes constitutional muster and the state can enforce it.,"An Ohio law that bans a controversial late-term abortion procedure is constitutionally acceptable and the state can enforce it, a federal appeals court ruled yesterday.",4.2,the th u s circuit court of appeals on wednesday ruled that an ohio law banning a controversial late term abortion method passes constitutional muster and the state can enforce it,an ohio law that bans a controversial late term abortion procedure is constitutionally acceptable and the state can enforce it a federal appeals court ruled yesterday,th u circuit court appeals wednesday ruled ohio law banning controversial late term abortion method passes constitutional muster state enforce,ohio law bans controversial late term abortion procedure constitutionally acceptable state enforce federal appeals court ruled yesterday,0.93,0.95,0.92
"The Nasdaq composite index advanced 20.59, or 1.3 percent, to 1,616.50, after gaining 5.7 percent last week.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",2.0,the nasdaq composite index advanced or percent to after gaining percent last week,the technology laced nasdaq composite index ixic climbed points or percent to,nasdaq composite index advanced percent gaining percent last week,technology laced nasdaq composite index ixic climbed points percent,0.84,0.84,0.77
"""We're going to do everything in our power to get money back to ratepayers as quickly as possible,"" Kennedy said.","""There's very strong interest in getting money back to the ratepayers as quickly as possible,"" Commissioner Susan Kennedy said.",3.8,we re going to do everything in our power to get money back to ratepayers as quickly as possible kennedy said,there s very strong interest in getting money back to the ratepayers as quickly as possible commissioner susan kennedy said,going everything power get money back ratepayers quickly possible kennedy said,strong interest getting money back ratepayers quickly possible commissioner susan kennedy said,0.89,0.9,0.89
The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.,1.6,the company said it would cut the wholesale price of most top line cds to from,the company also said it would cut wholesale prices on cassettes and change the suggested retail price to,company said would cut wholesale price top line cds,company also said would cut wholesale prices cassettes change suggested retail price,0.91,0.91,0.87
Shares of Allergan fell 14 cents to close at $78.12 on the New York Stock Exchange (news - web sites).,Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,3.25,shares of allergan fell cents to close at on the new york stock exchange news web sites,shares of allergan were up cents at in late trading on the new york stock exchange,shares allergan fell cents close new york stock exchange news web sites,shares allergan cents late trading new york stock exchange,0.93,0.92,0.88
"The upcoming second-quarter earnings season will be particularly important in offering investors guidance, they say.",They say second-quarter earnings reports will be key in giving investors that guidance.,5.0,the upcoming second quarter earnings season will be particularly important in offering investors guidance they say,they say second quarter earnings reports will be key in giving investors that guidance,upcoming second quarter earnings season particularly important offering investors guidance say,say second quarter earnings reports key giving investors guidance,0.9,0.94,0.88
"That took the benchmark 10-year note US10YT=RR down 9/32, its yield rising to 3.37 percent from 3.34 percent late on Thursday.","That saw the benchmark 10-year note US10YT=RR slip 5/32 in price, taking its yield to 3.36 percent from 3.34 percent late on Thursday.",3.42,that took the benchmark year note us yt rr down its yield rising to percent from percent late on thursday,that saw the benchmark year note us yt rr slip in price taking its yield to percent from percent late on thursday,took benchmark year note us yt rr yield rising percent percent late thursday,saw benchmark year note us yt rr slip price taking yield percent percent late thursday,0.97,0.98,0.97
The bank's shares fell 45 cents in trading yesterday to $91.51 per share.,"Shares of M&T, which is based in Buffalo, fell 41 cents, to $91.51.",2.75,the bank s shares fell cents in trading yesterday to per share,shares of m t which is based in buffalo fell cents to,bank shares fell cents trading yesterday per share,shares based buffalo fell cents,0.75,0.83,0.81
"In the latest violence, insurgents threw a bomb at a U.S. convoy in northern Baghdad, killing one soldier.","Early Monday, insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad, killing an American soldier.",4.11,in the latest violence insurgents threw a bomb at a u s convoy in northern baghdad killing one soldier,early monday insurgents threw a homemade bomb at a u s convoy in northern baghdad killing an american soldier,latest violence insurgents threw bomb u convoy northern baghdad killing one soldier,early monday insurgents threw homemade bomb u convoy northern baghdad killing american soldier,0.93,0.94,0.91
"Consumer groups are against the changes, saying they hurt individuality in markets.","Consumer groups oppose the changes, saying they would concentrate too many outlets in too few media empires.",3.6,consumer groups are against the changes saying they hurt individuality in markets,consumer groups oppose the changes saying they would concentrate too many outlets in too few media empires,consumer groups changes saying hurt individuality markets,consumer groups oppose changes saying would concentrate many outlets media empires,0.83,0.86,0.79
"Every Thursday, a grains management committee meets in the Commission's agriculture directorate to decide the outcome of a weekly export tender.",A grains management committee normally meets each Thursday in the Commission's agriculture unit -- another target of Wednesday's raids -- to decide the outcome of a weekly export tender.,3.6,every thursday a grains management committee meets in the commission s agriculture directorate to decide the outcome of a weekly export tender,a grains management committee normally meets each thursday in the commission s agriculture unit another target of wednesday s raids to decide the outcome of a weekly export tender,every thursday grains management committee meets commission agriculture directorate decide outcome weekly export tender,grains management committee normally meets thursday commission agriculture unit another target wednesday raids decide outcome weekly export tender,0.95,0.98,0.94
"Colin Powell, the Secretary of State, said contacts with Iran would not stop.",Secretary of State Colin Powell said yesterday that contacts with Iran would continue.,4.33,colin powell the secretary of state said contacts with iran would not stop,secretary of state colin powell said yesterday that contacts with iran would continue,colin powell secretary state said contacts iran would stop,secretary state colin powell said yesterday contacts iran would continue,0.9,0.96,0.96
"Stout previously worked for General Electric subsidiary GE Capital Service Inc., where he was vice president and chief technology and information officer.","Stout comes to Sprint from GE Capital, where he served as chief technology and information officer.",3.2,stout previously worked for general electric subsidiary ge capital service inc where he was vice president and chief technology and information officer,stout comes to sprint from ge capital where he served as chief technology and information officer,stout previously worked general electric subsidiary ge capital service inc vice president chief technology information officer,stout comes sprint ge capital served chief technology information officer,0.86,0.88,0.84
"Scrimshaw, Supervisor, Best Minister and Ten Most Wanted are expected to complete the Belmont field.","Best Minister, Scrimshaw, and Ten Most Wanted all had workouts on Monday morning.",2.25,scrimshaw supervisor best minister and ten most wanted are expected to complete the belmont field,best minister scrimshaw and ten most wanted all had workouts on monday morning,scrimshaw supervisor best minister ten wanted expected complete belmont field,best minister scrimshaw ten wanted workouts monday morning,0.83,0.86,0.76
"Former South African Archbishop Desmond Tutu said Sunday he did not see what ""all the fuss"" was over appointing a gay bishop, but urged homosexual clergy to remain celibate.","South Africa's Nobel laureate Archbishop Desmond Tutu says he does not understand all the fuss about appointing a gay bishop, but he has urged homosexual clergy to remain celibate.",4.5,former south african archbishop desmond tutu said sunday he did not see what all the fuss was over appointing a gay bishop but urged homosexual clergy to remain celibate,south africa s nobel laureate archbishop desmond tutu says he does not understand all the fuss about appointing a gay bishop but he has urged homosexual clergy to remain celibate,former south african archbishop desmond tutu said sunday see fuss appointing gay bishop urged homosexual clergy remain celibate,south africa nobel laureate archbishop desmond tutu says understand fuss appointing gay bishop urged homosexual clergy remain celibate,0.94,0.96,0.95
"In September, Hewlett-Packard signed a development and marketing deal with the company.",Four months later it signed a joint marketing agreement with Hewlett-Packard Co.,2.75,in september hewlett packard signed a development and marketing deal with the company,four months later it signed a joint marketing agreement with hewlett packard co,september hewlett packard signed development marketing deal company,four months later signed joint marketing agreement hewlett packard co,0.82,0.86,0.79
Consumers would still have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",4.0,consumers would still have to get a descrambling security card from their cable operator to plug into the set,to watch pay television consumers would insert into the set a security card provided by their cable service,consumers would still get descrambling security card cable operator plug set,watch pay television consumers would insert set security card provided cable service,0.92,0.93,0.88
"On Friday, the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun.","Yesterday, the Concorde seemed to launch itself straight out of the rising sun.",3.4,on friday the concorde started up around sunrise and seemed to launch itself straight out of the rising sun,yesterday the concorde seemed to launch itself straight out of the rising sun,friday concorde started around sunrise seemed launch straight rising sun,yesterday concorde seemed launch straight rising sun,0.95,0.96,0.93
A Stage 1 episode is declared when ozone levels reach 0.20 parts per million.,The federal standard for ozone is 0.12 parts per million.,2.2,a stage episode is declared when ozone levels reach parts per million,the federal standard for ozone is parts per million,stage episode declared ozone levels reach parts per million,federal standard ozone parts per million,0.84,0.85,0.79
"While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",The bomb exploded while authorities waited for a bomb squad to arrive.,3.25,while waiting for a bomb squad to arrive the bomb exploded killing wells,the bomb exploded while authorities waited for a bomb squad to arrive,waiting bomb squad arrive bomb exploded killing wells,bomb exploded authorities waited bomb squad arrive,0.9,0.96,0.92
"""It seems to me ... we're just dealing with bragging rights here, who wins and who loses,"" said Gammerman, who heard the case without a jury.","""Leaving aside attorney fees, we're dealing with bragging rights of who wins and who loses,"" said Gammerman.",3.67,it seems to me we re just dealing with bragging rights here who wins and who loses said gammerman who heard the case without a jury,leaving aside attorney fees we re dealing with bragging rights of who wins and who loses said gammerman,seems dealing bragging rights wins loses said gammerman heard case without jury,leaving aside attorney fees dealing bragging rights wins loses said gammerman,0.88,0.91,0.87
"The American women, who are defending champions, will play in Philadelphia on Sept. 25 and conclude group competition in Columbus on Sept. 28.","The U.S. women, who are defending champions, will play on Sept. 25 in Philadelphia and conclude group competition on Sept. 28 in Columbus, Ohio.",4.75,the american women who are defending champions will play in philadelphia on sept and conclude group competition in columbus on sept,the u s women who are defending champions will play on sept in philadelphia and conclude group competition on sept in columbus ohio,american women defending champions play philadelphia sept conclude group competition columbus sept,u women defending champions play sept philadelphia conclude group competition sept columbus ohio,0.98,0.99,0.97
"Its maker, MedImmune Inc., based in Gaithersburg, made 4 million to 5 million doses this year.","MedImmune Vaccines, the maker of FluMist, made between 4 million and 5 million doses this year.",3.5,its maker medimmune inc based in gaithersburg made million to million doses this year,medimmune vaccines the maker of flumist made between million and million doses this year,maker medimmune inc based gaithersburg made million million doses year,medimmune vaccines maker flumist made million million doses year,0.89,0.88,0.87
Kaichen appeared Wednesday in federal court on two bank robbery charges.,"She appeared in federal court Wednesday, but did not enter a plea.",3.0,kaichen appeared wednesday in federal court on two bank robbery charges,she appeared in federal court wednesday but did not enter a plea,kaichen appeared wednesday federal court two bank robbery charges,appeared federal court wednesday enter plea,0.73,0.74,0.76
"An incremental step reported by researchers at the University of California, San Francisco, is the latest in a decade-long effort.","The incremental step, reported by researchers at UC San Francisco, is the latest in a decade-long effort to infect mice with the virus.",3.25,an incremental step reported by researchers at the university of california san francisco is the latest in a decade long effort,the incremental step reported by researchers at uc san francisco is the latest in a decade long effort to infect mice with the virus,incremental step reported researchers university california san francisco latest decade long effort,incremental step reported researchers uc san francisco latest decade long effort infect mice virus,0.94,0.95,0.89
"Bush turned out a statement yesterday thanking the commission for its work, and said, ""Our journey into space will go on.""","Mr. Bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work, and saying, ""Our journey into space will go on.""",3.6,bush turned out a statement yesterday thanking the commission for its work and said our journey into space will go on,mr bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work and saying our journey into space will go on,bush turned statement yesterday thanking commission work said journey space go,mr bush discuss issued brief statement yesterday thanking commission work saying journey space go,0.95,0.96,0.92
"The governor is going to Jackson, where 13 of the state's 16 fatalities were reported.","The governor is going to Jackson, where 13 people were killed.",3.8,the governor is going to jackson where of the state s fatalities were reported,the governor is going to jackson where people were killed,governor going jackson state fatalities reported,governor going jackson people killed,0.92,0.92,0.79
"The broader Standard & Poor's 500 Index rose 3.42 points, or 0.34 percent, to 1,007.84.","The technology-laced Nasdaq Composite Index .IXIC was down 1.55 points, or 0.09 percent, at 1,744.91.",1.0,the broader standard poor s index rose points or percent to,the technology laced nasdaq composite index ixic was down points or percent at,broader standard poor index rose points percent,technology laced nasdaq composite index ixic points percent,0.85,0.82,0.7
Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain.,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel.,3.33,crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain,crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel,crews worked install new culvert prepare highway motorists could use eastbound lanes travel storm clouds threatened dump rain,crews worked install new culvert repave highway motorists could use eastbound lanes travel,0.96,0.96,0.92
"Buoyed by some of the advice imparted by Nicklaus, Howell shot an 8-under 64 for a one-stroke lead over Kenny Perry.","Buoyed by advice imparted by Nicklaus, Howell shot an 8-under 64 on Thursday to enter today's round with a one-stroke lead over Kenny Perry.",4.25,buoyed by some of the advice imparted by nicklaus howell shot an under for a one stroke lead over kenny perry,buoyed by advice imparted by nicklaus howell shot an under on thursday to enter today s round with a one stroke lead over kenny perry,buoyed advice imparted nicklaus howell shot one stroke lead kenny perry,buoyed advice imparted nicklaus howell shot thursday enter today round one stroke lead kenny perry,0.95,0.95,0.94
Net revenue rose to $3.99 billion from $3.85 billion during the same quarter last year.,That is up from $1.14 billion during the same quarter last year.,1.75,net revenue rose to billion from billion during the same quarter last year,that is up from billion during the same quarter last year,net revenue rose billion billion quarter last year,billion quarter last year,0.89,0.92,0.9
"These men ""are entitled to respect for their private lives,"" Kennedy said.","""The petitioners are entitled to respect for their private lives.""",2.75,these men are entitled to respect for their private lives kennedy said,the petitioners are entitled to respect for their private lives,men entitled respect private lives kennedy said,petitioners entitled respect private lives,0.89,0.93,0.84
"The mock explosion, the first event in the drill, occurred in a car in industrial south Seattle.","The mock explosion of a radioactive ""dirty bomb,"" the first event in the weeklong drill, occurred on several acres in the south Seattle industrial area.",3.25,the mock explosion the first event in the drill occurred in a car in industrial south seattle,the mock explosion of a radioactive dirty bomb the first event in the weeklong drill occurred on several acres in the south seattle industrial area,mock explosion first event drill occurred car industrial south seattle,mock explosion radioactive dirty bomb first event weeklong drill occurred several acres south seattle industrial area,0.95,0.96,0.91
